Trade_Number,Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Shares,Position_Size,Gross_Profit,Profit_Percent,Holding_Days,Trade_Result,Running_Balance,Trade_Type
1,MPWR,2022-01-05,449.22,2022-05-25,392.32,22,9882.9,-1251.78,-12.67,140,Loss,98748.22,Sell
2,MPWR,2022-05-27,445.31,2022-06-13,380.63,22,9796.81,-1422.94,-14.52,17,Loss,97325.29,Sell
3,MPWR,2022-06-24,409.71,2022-06-28,387.95,24,9833.09,-522.36,-5.31,4,Loss,96802.93,Sell
4,MPWR,2022-07-13,379.21,2022-09-23,363.34,26,9859.39,-412.49,-4.18,72,Loss,96390.44,Sell
5,MPWR,2022-10-05,392.11,2022-10-07,355.59,25,9802.73,-913.0,-9.31,2,Loss,95477.44,Sell
6,MPWR,2022-10-21,326.39,2022-11-02,328.07,30,9791.84,50.31,0.51,12,Win,95527.75,Sell
7,MPWR,2022-11-04,344.94,2022-11-09,337.19,28,9658.29,-216.92,-2.25,5,Loss,95310.82,Sell
8,MPWR,2022-11-11,385.76,2022-11-16,368.12,25,9644.1,-441.05,-4.57,5,Loss,94869.77,Sell
9,MPWR,2022-12-02,375.8,2022-12-06,356.82,26,9770.81,-493.37,-5.05,4,Loss,94376.4,Sell
10,MPWR,2022-12-09,378.63,2022-12-15,366.08,26,9844.5,-326.37,-3.32,6,Loss,94050.03,Sell
11,MPWR,2022-12-21,359.9,2023-05-05,405.03,27,9717.41,1218.51,12.54,135,Win,95268.54,Sell
12,MPWR,2023-05-19,425.47,2023-05-23,417.28,23,9785.79,-188.46,-1.93,4,Loss,95080.08,Sell
13,MPWR,2023-05-26,513.02,2023-08-17,478.9,19,9747.41,-648.33,-6.65,83,Loss,94431.76,Sell
14,MPWR,2023-08-23,512.55,2023-08-25,482.58,19,9738.37,-569.36,-5.85,2,Loss,93862.4,Sell
15,MPWR,2023-08-30,508.29,2023-09-11,479.7,19,9657.57,-543.3,-5.63,12,Loss,93319.09,Sell
16,MPWR,2023-09-29,456.89,2023-10-13,470.49,21,9594.79,285.56,2.98,14,Win,93604.65,Sell
17,MPWR,2023-11-01,451.52,2023-11-09,476.73,22,9933.33,554.8,5.59,8,Win,94159.46,Sell
18,MPWR,2023-11-10,499.0,2024-04-18,615.58,20,9980.09,2331.42,23.36,160,Win,96490.87,Sell
19,MPWR,2024-04-26,672.06,2024-10-31,755.69,14,9408.85,1170.8,12.44,188,Win,97661.67,Sell
20,MPWR,2024-11-29,564.94,2024-12-12,602.57,17,9603.99,639.71,6.66,13,Win,98301.38,Sell
21,MPWR,2024-12-16,625.63,2024-12-18,595.23,15,9384.46,-456.07,-4.86,2,Loss,97845.32,Sell
22,MPWR,2024-12-23,614.34,2024-12-26,616.88,16,9829.51,40.61,0.41,3,Win,97885.92,Sell
23,MPWR,2025-01-03,618.2,2025-01-08,619.29,16,9891.24,17.39,0.18,5,Win,97903.32,Sell
24,MPWR,2025-01-15,600.79,2025-01-16,595.05,16,9612.63,-91.75,-0.95,1,Loss,97811.56,Sell
25,MPWR,2025-01-17,624.14,2025-01-24,676.6,16,9986.18,839.5,8.41,7,Win,98651.06,Sell
26,MPWR,2025-01-27,599.17,2025-01-28,615.91,16,9586.78,267.76,2.79,1,Win,98918.82,Sell
27,MPWR,2025-01-31,635.66,2025-02-28,609.37,15,9534.83,-394.34,-4.14,28,Loss,98524.48,Sell
28,MPWR,2025-03-17,638.92,2025-03-20,607.38,15,9583.75,-473.02,-4.94,3,Loss,98051.45,Sell
29,MPWR,2025-03-24,626.24,2025-03-28,578.33,15,9393.61,-718.66,-7.65,4,Loss,97332.79,Sell
30,MPWR,2025-04-16,524.86,2025-04-21,508.19,19,9972.34,-316.73,-3.18,5,Loss,97016.06,Sell
31,MPWR,2025-04-23,536.97,2025-06-06,687.08,18,9665.46,2701.98,27.96,44,Win,99718.04,Final Sell
