Trade_Number,Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Shares,Position_Size,Gross_Profit,Profit_Percent,Holding_Days,Trade_Result,Running_Balance,Trade_Type
1,TSCO,2022-01-05,44.38,2022-05-25,34.29,225,9984.79,-2269.47,-22.73,140,Loss,97730.53,Sell
2,TSCO,2022-05-27,37.33,2022-06-08,38.48,267,9966.59,306.61,3.08,12,Win,98037.15,Sell
3,TSCO,2022-06-24,39.37,2022-06-28,37.88,253,9961.28,-378.88,-3.8,4,Loss,97658.27,Sell
4,TSCO,2022-07-08,39.56,2022-07-12,38.12,252,9970.3,-363.21,-3.64,4,Loss,97295.06,Sell
5,TSCO,2022-07-15,39.42,2022-07-21,38.49,253,9972.56,-234.59,-2.35,6,Loss,97060.47,Sell
6,TSCO,2022-08-01,37.61,2022-08-29,37.05,265,9966.99,-149.27,-1.5,28,Loss,96911.2,Sell
7,TSCO,2022-09-09,39.15,2022-09-14,36.83,255,9983.37,-591.79,-5.93,5,Loss,96319.41,Sell
8,TSCO,2022-10-03,37.83,2023-05-16,44.29,264,9985.93,1707.09,17.09,225,Win,98026.5,Sell
9,TSCO,2023-06-09,42.51,2023-06-16,42.85,235,9990.93,78.65,0.79,7,Win,98105.15,Sell
10,TSCO,2023-06-21,43.15,2023-06-22,42.99,231,9967.35,-37.07,-0.37,1,Loss,98068.08,Sell
11,TSCO,2023-06-30,43.27,2023-07-05,43.13,231,9996.29,-33.0,-0.33,5,Loss,98035.08,Sell
12,TSCO,2023-07-10,43.31,2023-07-12,43.21,230,9961.12,-22.51,-0.23,2,Loss,98012.57,Sell
13,TSCO,2023-07-28,43.84,2023-08-21,42.2,228,9995.43,-373.51,-3.74,24,Loss,97639.06,Sell
14,TSCO,2023-08-30,43.64,2023-09-05,42.68,229,9992.66,-218.27,-2.18,6,Loss,97420.79,Sell
15,TSCO,2023-09-08,42.55,2023-09-12,42.49,235,9998.75,-13.34,-0.13,4,Loss,97407.45,Sell
16,TSCO,2023-10-06,40.02,2023-10-12,38.51,249,9964.77,-376.23,-3.78,6,Loss,97031.22,Sell
17,TSCO,2023-10-16,40.25,2023-10-19,39.56,248,9982.99,-171.34,-1.72,3,Loss,96859.88,Sell
18,TSCO,2023-11-03,39.0,2023-11-09,38.18,256,9984.86,-210.44,-2.11,6,Loss,96649.44,Sell
19,TSCO,2023-11-10,38.86,2023-11-13,38.38,257,9986.64,-122.73,-1.23,3,Loss,96526.7,Sell
20,TSCO,2023-11-15,40.61,2023-11-16,39.74,246,9990.6,-213.78,-2.14,1,Loss,96312.93,Sell
21,TSCO,2023-11-29,39.39,2024-07-09,50.81,253,9964.63,2890.63,29.01,223,Win,99203.56,Sell
22,TSCO,2024-07-12,53.54,2024-07-25,50.85,186,9958.24,-500.72,-5.03,13,Loss,98702.84,Sell
23,TSCO,2024-08-12,51.79,2024-08-20,52.02,193,9996.03,44.6,0.45,8,Win,98747.44,Sell
24,TSCO,2024-08-21,52.86,2024-08-22,52.4,189,9989.69,-86.98,-0.87,1,Loss,98660.46,Sell
25,TSCO,2024-08-23,53.17,2024-09-03,53.0,188,9995.13,-30.82,-0.31,11,Loss,98629.64,Sell
26,TSCO,2024-09-04,53.86,2024-11-20,53.33,185,9963.52,-97.92,-0.98,77,Loss,98531.71,Sell
27,TSCO,2024-11-22,55.64,2024-12-17,54.57,179,9959.63,-191.66,-1.92,25,Loss,98340.05,Sell
28,TSCO,2025-01-08,53.92,2025-01-30,53.82,185,9975.8,-18.34,-0.18,22,Loss,98321.71,Sell
29,TSCO,2025-02-05,53.15,2025-02-06,52.6,188,9992.19,-102.51,-1.03,1,Loss,98219.2,Sell
30,TSCO,2025-02-14,56.65,2025-02-27,54.47,176,9970.34,-383.59,-3.85,13,Loss,97835.61,Sell
31,TSCO,2025-03-05,54.7,2025-03-12,52.12,182,9955.24,-469.23,-4.71,7,Loss,97366.38,Sell
32,TSCO,2025-03-19,52.56,2025-03-20,51.6,190,9986.2,-181.57,-1.82,1,Loss,97184.82,Sell
33,TSCO,2025-03-26,53.62,2025-04-04,52.16,186,9974.08,-272.17,-2.73,9,Loss,96912.64,Sell
34,TSCO,2025-04-30,50.39,2025-05-09,51.07,198,9977.0,134.03,1.34,9,Win,97046.67,Sell
35,TSCO,2025-05-12,52.48,2025-05-14,51.15,190,9971.07,-253.44,-2.54,2,Loss,96793.23,Sell
36,TSCO,2025-05-16,52.75,2025-05-20,51.36,189,9969.39,-261.51,-2.62,4,Loss,96531.72,Sell
37,TSCO,2025-06-06,50.94,2025-06-06,50.94,196,9984.24,0.0,0.0,0,Break-even,96531.72,Final Sell
